Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
CzarnaBiałostocka	białostocki	podlaskie	14,28	9594	672
CzarnaWoda	starogardzki	pomorskie	9,94	2865	288
Czarne	człuchowski	pomorskie	46,43	6052	130
Czarnków	czarnkowsko-trzcianecki	wielkopolskie	10,04	11139	1109
Czchów	brzeski	małopolskie	14,09	2364	168
Czechowice-Dziedzice	bielski	śląskie	32,91	35632	1083
Czeladź	będziński	śląskie	16,38	32666	1994
Czempiń	kościański	wielkopolskie	3,32	5278	1590
Czerniejewo	gnieźnieński	wielkopolskie	10,19	2637	259
Czersk	chojnicki	pomorskie	9,73	10030	1031
Czerwieńsk	zielonogórski	lubuskie	9,36	4159	444
Czerwionka-Leszczyny	rybnicki	śląskie	37,63	28348	753
Częstochowa	Częstochowa[a]	śląskie	159,71	230123	1441
Człopa	wałecki	zachodniopomorskie	6,27	2345	374
Człuchów	człuchowski	pomorskie	12,78	14224	1113
Czyżew	wysokomazowiecki	podlaskie	5,23	2642	505
Ćmielów	ostrowiecki	świętokrzyskie	13,34	3116	234
Daleszyce	kielecki	świętokrzyskie	15,50	2915	188
Darłowo	sławieński	zachodniopomorskie	20,21	14059	696
Dąbie	kolski	wielkopolskie	8,80	2061	234
DąbrowaBiałostocka	sokólski	podlaskie	22,64	5796	256
DąbrowaGórnicza	DąbrowaGórnicza[a]	śląskie	188,73	123376	654
DąbrowaTarnowska	dąbrowski	małopolskie	23,07	11881	515
Debrzno	człuchowski	pomorskie	7,51	5185	690
Dębica	dębicki	podkarpackie	33,83	46568	1377
Dęblin	rycki	lubelskie	38,33	16893	441
Dębno	myśliborski	zachodniopomorskie	19,51	14039	720
Dobczyce	myślenicki	małopolskie	12,97	6449	497
Dobiegniew	strzelecko-drezdenecki	lubuskie	5,69	3125	549
Dobra	łobeski	zachodniopomorskie	2,37	2338	986
Dobra	turecki	wielkopolskie	1,84	1427	776
DobreMiasto	olsztyński	warmińsko-mazurskie	4,86	10497	2160
Dobrodzień	oleski	opolskie	19,53	3773	193
Dobrzany	stargardzki	zachodniopomorskie	5,34	2352	440
Dobrzyca	pleszewski	wielkopolskie	19,70	3167	161
DobrzyńnadWisłą	lipnowski	kujawsko-pomorskie	5,41	2256	417
Dolsk	śremski	wielkopolskie	6,20	1575	254
Drawno	choszczeński	zachodniopomorskie	5,03	2340	465
DrawskoPomorskie	drawski	zachodniopomorskie	22,33	11828	530
Drezdenko	strzelecko-drezdenecki	lubuskie	10,72	10388	969
Drobin	płocki	mazowieckie	9,65	2963	307
Drohiczyn	siemiatycki	podlaskie	15,69	2118	135
Drzewica	opoczyński	łódzkie	4,81	3984	828
Dukla	krośnieński	podkarpackie	5,48	2122	387
Duszniki-Zdrój	kłodzki	dolnośląskie	22,28	4837	217
Dynów	rzeszowski	podkarpackie	24,55	6178	252
Działdowo	działdowski	warmińsko-mazurskie	11,47	21489	1873
Działoszyce	pińczowski	świętokrzyskie	1,92	964	502
Działoszyn	pajęczański	łódzkie	4,94	6147	1244
Dzierzgoń	sztumski	pomorskie	3,90	5524	1416
Dzierżoniów	dzierżoniowski	dolnośląskie	20,07	34168	1702
Dziwnów	kamieński	zachodniopomorskie	4,97	2724	548
Elbląg	Elbląg[a]	warmińsko-mazurskie	79,82	122368	1533
