Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
Myślibórz	myśliborski	zachodniopomorskie	15,04	11512	765
NakłonadNotecią	nakielski	kujawsko-pomorskie	10,62	19064	1795
Nałęczów	puławski	lubelskie	13,82	3892	282
Namysłów	namysłowski	opolskie	22,61	16126	713
Narol	lubaczowski	podkarpackie	12,42	2107	170
Nasielsk	nowodworski	mazowieckie	12,57	7629	607
Nekla	wrzesiński	wielkopolskie	19,79	3655	185
Nidzica	nidzicki	warmińsko-mazurskie	6,86	14258	2078
Niemcza	dzierżoniowski	dolnośląskie	19,81	3107	157
Niemodlin	opolski	opolskie	13,11	6586	502
Niepołomice	wielicki	małopolskie	27,40	11201	409
Nieszawa	aleksandrowski	kujawsko-pomorskie	9,79	1975	202
Nisko	niżański	podkarpackie	60,96	15453	253
NowaDęba	tarnobrzeski	podkarpackie	16,70	11403	683
NowaRuda	kłodzki	dolnośląskie	37,05	23030	622
NowaSarzyna	leżajski	podkarpackie	9,15	6102	667
NowaSól	nowosolski	lubuskie	21,80	39571	1815
Nowe	świecki	kujawsko-pomorskie	3,57	6118	1714
NoweBrzesko	proszowicki	małopolskie	7,26	1667	230
NoweMiasteczko	nowosolski	lubuskie	3,29	2897	881
NoweMiastoLubawskie	nowomiejski	warmińsko-mazurskie	11,37	11180	983
NoweMiastonadPilicą	grójecki	mazowieckie	11,25	3890	346
NoweSkalmierzyce	ostrowski	wielkopolskie	1,58	4871	3083
NoweWarpno	policki	zachodniopomorskie	24,51	1226	50
Nowogard	goleniowski	zachodniopomorskie	12,44	16821	1352
Nowogrodziec	bolesławiecki	dolnośląskie	16,10	4227	263
Nowogród	łomżyński	podlaskie	20,55	2187	106
NowogródBobrzański	zielonogórski	lubuskie	14,63	5151	352
NowyDwórGdański	nowodworski	pomorskie	5,07	10015	1975
NowyDwórMazowiecki	nowodworski	mazowieckie	28,21	28364	1005
NowySącz	NowySącz[a]	małopolskie	57,58	83853	1456
NowyStaw	malborski	pomorskie	4,67	4330	927
NowyTarg	nowotarski	małopolskie	51,07	33598	658
NowyTomyśl	nowotomyski	wielkopolskie	5,20	14974	2880
NowyWiśnicz	bocheński	małopolskie	4,97	2767	557
Nysa	nyski	opolskie	27,51	44775	1628
Oborniki	obornicki	wielkopolskie	14,08	18426	1309
ObornikiŚląskie	trzebnicki	dolnośląskie	14,46	9070	627
Obrzycko	szamotulski	wielkopolskie	3,74	2393	640
Odolanów	ostrowski	wielkopolskie	4,76	5134	1079
Ogrodzieniec	zawierciański	śląskie	28,56	4349	152
Okonek	złotowski	wielkopolskie	6,01	3979	662
Olecko	olecki	warmińsko-mazurskie	11,54	16458	1426
Olesno	oleski	opolskie	15,08	9527	632
Oleszyce	lubaczowski	podkarpackie	5,08	3093	609
Oleśnica	oleśnicki	dolnośląskie	20,96	37355	1782
Olkusz	olkuski	małopolskie	25,65	36477	1422
Olsztyn	Olsztyn[a]	warmińsko-mazurskie	88,33	173831	1968
Olsztynek	olsztyński	warmińsko-mazurskie	7,69	7738	1006
Olszyna	lubański	dolnośląskie	20,26	4469	221
Oława	oławski	dolnośląskie	27,36	32356	1183
Opalenica	nowotomyski	wielkopolskie	6,42	9621	1499
Opatów	opatowski	świętokrzyskie	9,36	6657	711
Opatówek	kaliski	wielkopolskie	?	?	?
Opoczno	opoczyński	łódzkie	24,75	21965	887
Opole	Opole[a]	opolskie	96,55	119574	1238
OpoleLubelskie	opolski	lubelskie	15,12	8792	581
Orneta	lidzbarski	warmińsko-mazurskie	9,63	9057	940
Orzesze	mikołowski	śląskie	83,79	20194	241
Orzysz	piski	warmińsko-mazurskie	8,17	5799	710
Osieczna	leszczyński	wielkopolskie	4,76	2265	476
Osiek	staszowski	świętokrzyskie	17,43	2013	115
Ostrołęka	Ostrołęka[a]	mazowieckie	28,63	52611	1838
Ostroróg	szamotulski	wielkopolskie	1,25	1989	1591
OstrowiecŚwiętokrzyski	ostrowiecki	świętokrzyskie	46,43	71728	1545
Ostróda	ostródzki	warmińsko-mazurskie	14,15	33790	2388
OstrówLubelski	lubartowski	lubelskie	29,77	2191	74
OstrówMazowiecka	ostrowski	mazowieckie	22,27	22792	1023
OstrówWielkopolski	ostrowski	wielkopolskie	41,90	72754	1736
Ostrzeszów	ostrzeszowski	wielkopolskie	12,13	14511	1196
OśnoLubuskie	słubicki	lubuskie	8,01	3856	481
Oświęcim	oświęcimski	małopolskie	30,00	39444	1315
Otmuchów	nyski	opolskie	27,82	5038	181
Otwock	otwocki	mazowieckie	47,31	45025	952
Ozimek	opolski	opolskie	3,25	9119	2806
Ozorków	zgierski	łódzkie	15,46	20068	1298
Ożarów	opatowski	świętokrzyskie	7,79	4682	601
OżarówMazowiecki	warszawskizachodni	mazowieckie	8,13	10880	1338
Pabianice	pabianicki	łódzkie	32,99	67207	2037
Paczków	nyski	opolskie	6,60	7785	1180
Pajęczno	pajęczański	łódzkie	20,23	6791	336
Pakość	inowrocławski	kujawsko-pomorskie	3,46	5712	1651
Parczew	parczewski	lubelskie	8,05	10913	1356
Pasłęk	elbląski	warmińsko-mazurskie	10,63	12406	1167
Pasym	szczycieński	warmińsko-mazurskie	15,18	2542	167
Pelplin	tczewski	pomorskie	4,42	8225	1861
Pełczyce	choszczeński	zachodniopomorskie	13,07	2635	202
Piaseczno	piaseczyński	mazowieckie	16,22	45567	2809
Piaski	świdnicki	lubelskie	8,44	2657	315
Piastów	pruszkowski	mazowieckie	5,76	22870	3970
Piechowice	jeleniogórski	dolnośląskie	43,22	6483	150
PiekaryŚląskie	PiekaryŚląskie[a]	śląskie	39,98	56755	1420
Pieniężno	braniewski	warmińsko-mazurskie	3,81	2909	764
Pieńsk	zgorzelecki	dolnośląskie	9,92	5943	599
Pieszyce	dzierżoniowski	dolnośląskie	63,61	9586	151
Pilawa	garwoliński	mazowieckie	6,62	4484	677
Pilica	zawierciański	śląskie	8,22	1937	236
Pilzno	dębicki	podkarpackie	16,04	4802	299
Piła	pilski	wielkopolskie	102,68	74333	724
PiławaGórna	dzierżoniowski	dolnośląskie	20,93	6702	320
Pińczów	pińczowski	świętokrzyskie	14,33	11179	780
Pionki	radomski	mazowieckie	18,40	19168	1042
PiotrkówKujawski	radziejowski	kujawsko-pomorskie	9,76	4462	457
PiotrkówTrybunalski	PiotrkówTrybunalski[a]	łódzkie	67,24	75608	1124
Pisz	piski	warmińsko-mazurskie	10,08	19562	1941
Piwniczna-Zdrój	nowosądecki	małopolskie	38,30	5967	156
Pleszew	pleszewski	wielkopolskie	13,38	17717	1324
Płock	Płock[a]	mazowieckie	88,04	122224	1388
Płońsk	płoński	mazowieckie	11,60	22379	1929
Płoty	gryficki	zachodniopomorskie	4,12	4048	983
Pniewy	szamotulski	wielkopolskie	9,32	7982	856
Pobiedziska	poznański	wielkopolskie	10,24	9091	888
Poddębice	poddębicki	łódzkie	5,87	7771	1324
PodkowaLeśna	grodziski	mazowieckie	10,13	3845	380
Pogorzela	gostyński	wielkopolskie	4,36	2063	473
Polanica-Zdrój	kłodzki	dolnośląskie	17,22	6599	383
Polanów	koszaliński	zachodniopomorskie	7,37	3005	408
Police	policki	zachodniopomorskie	37,31	33404	895
Polkowice	polkowicki	dolnośląskie	23,74	22558	950
Połaniec	staszowski	świętokrzyskie	17,41	8279	476
Połczyn-Zdrój	świdwiński	zachodniopomorskie	7,21	8418	1168
Poniatowa	opolski	lubelskie	15,26	9553	626
Poniec	gostyński	wielkopolskie	3,48	2873	826
Poręba	zawierciański	śląskie	39,99	8749	219
Poznań	Poznań[a]	wielkopolskie	261,91	545680	2083
Prabuty	kwidzyński	pomorskie	7,29	8781	1205
Praszka	oleski	opolskie	9,35	7907	846
Prochowice	legnicki	dolnośląskie	9,85	3644	370
Proszowice	proszowicki	małopolskie	7,33	6158	840
Prószków	opolski	opolskie	16,22	2721	168
Pruchnik	jarosławski	podkarpackie	19,91	3747	188
Prudnik	prudnicki	opolskie	20,50	21676	1057
Prusice	trzebnicki	dolnośląskie	10,94	2256	206
PruszczGdański	gdański	pomorskie	16,47	29226	1774
Pruszków	pruszkowski	mazowieckie	19,19	60068	3130
Przasnysz	przasnyski	mazowieckie	25,16	17296	687
Przecław	mielecki	podkarpackie	16,04	1723	107
Przedbórz	radomszczański	łódzkie	6,08	3697	608
Przedecz	kolski	wielkopolskie	2,98	1753	588
Przemków	polkowicki	dolnośląskie	6,17	6412	1039
Przemyśl	Przemyśl[a]	podkarpackie	46,17	63441	1374
Przeworsk	przeworski	podkarpackie	22,13	15681	709
Przysucha	przysuski	mazowieckie	7,02	6068	864
Pszczyna	pszczyński	śląskie	22,49	26028	1157
Pszów	wodzisławski	śląskie	20,44	14293	699
Puck	pucki	pomorskie	4,79	11321	2363
Puławy	puławski	lubelskie	50,49	48864	968
Pułtusk	pułtuski	mazowieckie	23,07	19236	834
Puszczykowo	poznański	wielkopolskie	16,39	9802	598
Pyrzyce	pyrzycki	zachodniopomorskie	38,79	12769	329
Pyskowice	gliwicki	śląskie	30,89	18563	601
Pyzdry	wrzesiński	wielkopolskie	12,16	3220	265
Rabka-Zdrój	nowotarski	małopolskie	36,31	13082	360
Raciąż	płoński	mazowieckie	8,40	4647	553
Racibórz	raciborski	śląskie	75,01	55710	743
Radków	kłodzki	dolnośląskie	15,03	2474	165
Radlin	wodzisławski	śląskie	12,53	18028	1439
Radłów	tarnowski	małopolskie	16,83	2766	164
Radom	Radom[a]	mazowieckie	111,80	217201	1943
Radomsko	radomszczański	łódzkie	51,43	47399	922
RadomyślWielki	mielecki	podkarpackie	8,79	3104	353
Radymno	jarosławski	podkarpackie	13,62	5433	399
Radziejów	radziejowski	kujawsko-pomorskie	5,69	5749	1010
Radzionków	tarnogórski	śląskie	13,20	17050	1292
Radzymin	wołomiński	mazowieckie	23,39	11698	500
RadzyńChełmiński	grudziądzki	kujawsko-pomorskie	1,78	1911	1074
RadzyńPodlaski	radzyński	lubelskie	19,31	16102	834
Rajgród	grajewski	podlaskie	35,28	1625	46
Rakoniewice	grodziski	wielkopolskie	3,37	3529	1047
Raszków	ostrowski	wielkopolskie	2,05	2080	1015
RawaMazowiecka	rawski	łódzkie	14,28	17737	1242
Rawicz	rawicki	wielkopolskie	7,74	20779	2685
Recz	choszczeński	zachodniopomorskie	12,40	2955	238
Reda	wejherowski	pomorskie	33,46	23565	704
Rejowiec	chełmski	lubelskie	?	?	?
RejowiecFabryczny	chełmski	lubelskie	14,28	4486	314
Resko	łobeski	zachodniopomorskie	4,49	4325	963
Reszel	kętrzyński	warmińsko-mazurskie	3,82	4753	1244
Rogoźno	obornicki	wielkopolskie	11,24	11229	999
Ropczyce	ropczycko-sędziszowski	podkarpackie	47,10	15722	334
Różan	makowski	mazowieckie	6,66	2729	410
Ruciane-Nida	piski	warmińsko-mazurskie	17,07	4674	274
RudaŚląska	RudaŚląska[a]	śląskie	77,73	140669	1810
RudniknadSanem	niżański	podkarpackie	36,60	6811	186
Rumia	wejherowski	pomorskie	30,10	47602	1581
Rybnik	Rybnik[a]	śląskie	148,36	140052	944
Rychwał	koniński	wielkopolskie	9,70	2385	246
Rydułtowy	wodzisławski	śląskie	14,95	21763	1456
Rydzyna	leszczyński	wielkopolskie	2,20	2790	1268
Ryglice	tarnowski	małopolskie	25,15	2870	114
Ryki	rycki	lubelskie	27,22	9877	363
Rymanów	krośnieński	podkarpackie	12,39	3715	300
Ryn	giżycki	warmińsko-mazurskie	4,14	2910	703
Rypin	rypiński	kujawsko-pomorskie	10,96	16739	1527
Rzepin	słubicki	lubuskie	11,42	6660	583
Rzeszów	Rzeszów[a]	podkarpackie	116,36	185123	1591
Rzgów	łódzkiwschodni	łódzkie	16,77	3393	202
Sandomierz	sandomierski	świętokrzyskie	28,69	24326	848
Sanok	sanocki	podkarpackie	38,08	38818	1019
Sejny	sejneński	podlaskie	4,49	5640	1256
Serock	legionowski	mazowieckie	13,43	4175	311
Sędziszów	jędrzejowski	świętokrzyskie	7,92	6654	840
SędziszówMałopolski	ropczycko-sędziszowski	podkarpackie	9,96	7492	752
Sępopol	bartoszycki	warmińsko-mazurskie	4,63	2013	435
SępólnoKrajeńskie	sępoleński	kujawsko-pomorskie	6,55	9361	1429
Sianów	koszaliński	zachodniopomorskie	15,88	6676	420
Siechnice	wrocławski	dolnośląskie	15,63	6381	408
Siedlce	Siedlce[a]	mazowieckie	31,86	76603	2404
Siedliszcze	chełmski	lubelskie	-	1408[2]	-
SiemianowiceŚląskie	SiemianowiceŚląskie[a]	śląskie	25,50	68634	2692
Siemiatycze	siemiatycki	podlaskie	36,25	14725	406
Sieniawa	przeworski	podkarpackie	6,74	2157	320
Sieradz	sieradzki	łódzkie	51,22	43071	841
Sieraków	międzychodzki	wielkopolskie	14,08	6089	432
Sierpc	sierpecki	mazowieckie	18,59	18453	993
Siewierz	będziński	śląskie	38,66	5495	142
Skalbmierz	kazimierski	świętokrzyskie	7,13	1313	184
Skała	krakowski	małopolskie	2,97	3800	1279
Skarszewy	starogardzki	pomorskie	10,79	7057	654
Skaryszew	radomski	mazowieckie	27,49	4335	158
Skarżysko-Kamienna	skarżyski	świętokrzyskie	64,39	47212	733
Skawina	krakowski	małopolskie	20,50	24203	1181
Skępe	lipnowski	kujawsko-pomorskie	7,48	3623	484
Skierniewice	Skierniewice[a]	łódzkie	34,60	48660	1406
Skoczów	cieszyński	śląskie	9,85	14625	1485
Skoki	wągrowiecki	wielkopolskie	11,20	4175	373
Skórcz	starogardzki	pomorskie	3,63	3551	978
Skwierzyna	międzyrzecki	lubuskie	35,89	9805	273
Sława	wschowski	lubuskie	14,90	4299	289
Sławków	będziński	śląskie	36,67	7135	195
Sławno	sławieński	zachodniopomorskie	15,83	12825	810
Słomniki	krakowski	małopolskie	3,43	4402	1283
Słubice	słubicki	lubuskie	19,21	16914	880
Słupca	słupecki	wielkopolskie	10,30	14016	1361
Słupsk	Słupsk[a]	pomorskie	43,15	93206	2160
Sobótka	wrocławski	dolnośląskie	32,20	6978	217
Sochaczew	sochaczewski	mazowieckie	26,19	37201	1420
SokołówMałopolski	rzeszowski	podkarpackie	15,54	4047	260
SokołówPodlaski	sokołowski	mazowieckie	17,51	18743	1070
Sokółka	sokólski	podlaskie	18,59	18716	1007
SolecKujawski	bydgoski	kujawsko-pomorskie	18,68	15627	837
Sompolno	koniński	wielkopolskie	6,21	3612	582
Sopot	Sopot[a]	pomorskie	17,28	37654	2179
Sosnowiec	Sosnowiec[a]	śląskie	91,06	209274	2298
Sośnicowice	gliwicki	śląskie	11,67	1854	159
StalowaWola	stalowowolski	podkarpackie	82,52	63291	767
Starachowice	starachowicki	świętokrzyskie	31,82	50679	1593
Stargard	stargardzki	zachodniopomorskie	48,08	68922	1433
StarogardGdański	starogardzki	pomorskie	25,28	48327	1912
StarySącz	nowosądecki	małopolskie	15,00	9040	603
Staszów	staszowski	świętokrzyskie	26,88	15298	569
Stawiski	kolneński	podlaskie	13,24	2342	177
Stawiszyn	kaliski	wielkopolskie	0,99	1542	1558
Stąporków	konecki	świętokrzyskie	10,94	5947	544
Stepnica	goleniowski	zachodniopomorskie	3,40	2446	719
Stęszew	poznański	wielkopolskie	5,69	5903	1037
StoczekŁukowski	łukowski	lubelskie	9,15	2665	291
Stopnica	buski	świętokrzyskie	4,55	1462	321
StronieŚląskie	kłodzki	dolnośląskie	2,38	5934	2493
Strumień	cieszyński	śląskie	6,29	3642	579
Stryków	zgierski	łódzkie	8,15	3536	434
Strzegom	świdnicki	dolnośląskie	20,49	16643	812
StrzelceKrajeńskie	strzelecko-drezdenecki	lubuskie	5,54	10118	1826
StrzelceOpolskie	strzelecki	opolskie	29,97	18373	613
Strzelin	strzeliński	dolnośląskie	10,34	12546	1213
Strzelno	mogileński	kujawsko-pomorskie	4,46	5747	1289
Strzyżów	strzyżowski	podkarpackie	13,89	8955	645
SuchaBeskidzka	suski	małopolskie	27,65	9414	340
Suchań	stargardzki	zachodniopomorskie	3,57	1459	409
Suchedniów	skarżyski	świętokrzyskie	59,40	8667	146
Suchowola	sokólski	podlaskie	25,95	2236	86
Sulechów	zielonogórski	lubuskie	6,88	17322	2518
Sulejów	piotrkowski	łódzkie	26,26	6360	242
Sulejówek	miński	mazowieckie	19,31	19411	1005
Sulęcin	sulęciński	lubuskie	8,56	10278	1201
Sulmierzyce	krotoszyński	wielkopolskie	29,29	2905	99
Sułkowice	myślenicki	małopolskie	16,46	6537	397
Supraśl	białostocki	podlaskie	5,69	4633	814
Suraż	białostocki	podlaskie	33,86	1009	30
Susz	iławski	warmińsko-mazurskie	6,67	5694	854
Suwałki	Suwałki[a]	podlaskie	65,51	69316	1058
Swarzędz	poznański	wielkopolskie	8,23	31035	3771
Syców	oleśnicki	dolnośląskie	17,05	10407	610
Szadek	zduńskowolski	łódzkie	17,93	2024	113
Szamocin	chodzieski	wielkopolskie	4,67	4337	929
Szamotuły	szamotulski	wielkopolskie	11,08	18831	1700
Szczawnica	nowotarski	małopolskie	32,90	5972	182
Szczawno-Zdrój	wałbrzyski	dolnośląskie	14,74	5754	390
Szczebrzeszyn	zamojski	lubelskie	29,12	5202	179
Szczecin	Szczecin[a]	zachodniopomorskie	300,55	407180	1355
Szczecinek	szczecinecki	zachodniopomorskie	48,48	40535	836
Szczekociny	zawierciański	śląskie	18,03	3726	207
Szczucin	dąbrowski	małopolskie	6,85	4189	612
Szczuczyn	grajewski	podlaskie	13,23	3449	261
Szczyrk	bielski	śląskie	39,07	5799	148
Szczytna	kłodzki	dolnośląskie	80,38	5328	66
Szczytno	szczycieński	warmińsko-mazurskie	10,62	24185	2277
Szepietowo	wysokomazowiecki	podlaskie	1,96	2278	1162
SzklarskaPoręba	jeleniogórski	dolnośląskie	75,44	6829	91
Szlichtyngowa	wschowski	lubuskie	1,55	1289	832
Szprotawa	żagański	lubuskie	10,95	12252	1119
Sztum	sztumski	pomorskie	4,59	10308	2246
Szubin	nakielski	kujawsko-pomorskie	7,65	9551	1248
Szydłowiec	szydłowiecki	mazowieckie	21,89	12049	550
Ścinawa	lubiński	dolnośląskie	13,54	5767	426
Ślesin	koniński	wielkopolskie	7,18	3151	439
Śmigiel	kościański	wielkopolskie	5,30	5631	1062
Śrem	śremski	wielkopolskie	12,37	30036	2428
ŚrodaŚląska	średzki	dolnośląskie	14,94	9342	625
ŚrodaWielkopolska	średzki	wielkopolskie	17,98	22661	1260
ŚwiątnikiGórne	krakowski	małopolskie	4,44	2400	541
Świdnica	świdnicki	dolnośląskie	21,76	58802	2702
Świdnik	świdnicki	lubelskie	20,35	40078	1969
Świdwin	świdwiński	zachodniopomorskie	22,38	15588	697
Świebodzice	świdnicki	dolnośląskie	30,43	23197	762
Świebodzin	świebodziński	lubuskie	16,93	22008	1300
Świecie	świecki	kujawsko-pomorskie	11,87	26276	2214
Świeradów-Zdrój	lubański	dolnośląskie	20,72	4308	208
Świerzawa	złotoryjski	dolnośląskie	1,76	2339	1329
Świętochłowice	Świętochłowice[a]	śląskie	13,31	51494	3869
Świnoujście	Świnoujście[a]	zachodniopomorskie	197,23	41276	209
Tarczyn	piaseczyński	mazowieckie	5,23	4089	782
Tarnobrzeg	Tarnobrzeg[a]	podkarpackie	85,40	48000	562
Tarnogród	biłgorajski	lubelskie	10,69	3457	323
TarnowskieGóry	tarnogórski	śląskie	83,72	60879	727
Tarnów	Tarnów[a]	małopolskie	72,38	111376	1539
Tczew	tczewski	pomorskie	22,38	60573	2707
Terespol	bialski	lubelskie	10,11	5794	573
Tłuszcz	wołomiński	mazowieckie	7,91	8041	1017
Tolkmicko	elbląski	warmińsko-mazurskie	2,29	2794	1220
TomaszówLubelski	tomaszowski	lubelskie	13,29	19824	1492
TomaszówMazowiecki	tomaszowski	łódzkie	41,30	64513	1562
Toruń	Toruń[a]	kujawsko-pomorskie	115,72	203158	1756
Torzym	sulęciński	lubuskie	9,11	2571	282
Toszek	gliwicki	śląskie	9,71	3615	372
Trzcianka	czarnkowsko-trzcianecki	wielkopolskie	18,30	17323	947
Trzciel	międzyrzecki	lubuskie	3,04	2501	823
Trzcińsko-Zdrój	gryfiński	zachodniopomorskie	2,33	2418	1038
Trzebiatów	gryficki	zachodniopomorskie	10,25	10153	991
Trzebinia	chrzanowski	małopolskie	31,94	20127	630
Trzebnica	trzebnicki	dolnośląskie	8,36	12970	1551
Trzemeszno	gnieźnieński	wielkopolskie	5,46	7848	1437
Tuchola	tucholski	kujawsko-pomorskie	17,69	13935	788
Tuchów	tarnowski	małopolskie	18,10	6724	371
Tuczno	wałecki	zachodniopomorskie	9,21	1956	212
Tuliszków	turecki	wielkopolskie	7,00	3379	483
Turek	turecki	wielkopolskie	16,17	27926	1727
Tuszyn	łódzkiwschodni	łódzkie	23,25	7309	314
Twardogóra	oleśnicki	dolnośląskie	8,29	6794	820
Tychowo	białogardzki	zachodniopomorskie	3,96	2555	645
Tychy	Tychy[a]	śląskie	81,81	128621	1572
Tyczyn	rzeszowski	podkarpackie	9,67	3638	376
Tykocin	białostocki	podlaskie	28,97	2012	69
Tyszowce	tomaszowski	lubelskie	18,52	2170	117
Ujazd	strzelecki	opolskie	14,76	1723	117
Ujście	pilski	wielkopolskie	5,78	3802	658
Ulanów	niżański	podkarpackie	8,20	1447	176
Uniejów	poddębicki	łódzkie	12,23	3051	249
Urzędów	kraśnicki	lubelskie	-	1069	-
Ustka	słupski	pomorskie	10,19	16056	1576
Ustroń	cieszyński	śląskie	59,03	16073	272
UstrzykiDolne	bieszczadzki	podkarpackie	16,79	9383	559
Wadowice	wadowicki	małopolskie	10,54	19254	1827
Wałbrzych	Wałbrzych[a]	dolnośląskie	84,70	116691	1378
Wałcz	wałecki	zachodniopomorskie	38,17	26033	682
Warka	grójecki	mazowieckie	26,77	11777	440
Warszawa	m.st.Warszawa[a]	mazowieckie	517,24	1735442	3355
Warta	sieradzki	łódzkie	10,85	3339	308
Wasilków	białostocki	podlaskie	28,26	10677	378
Wąbrzeźno	wąbrzeski	kujawsko-pomorskie	8,53	13925	1632
Wąchock	starachowicki	świętokrzyskie	16,02	2848	178
Wągrowiec	wągrowiecki	wielkopolskie	17,83	25266	1417
Wąsosz	górowski	dolnośląskie	3,24	2774	856
Wejherowo	wejherowski	pomorskie	26,99	50292	1863
Węgliniec	zgorzelecki	dolnośląskie	8,73	2984	342
Węgorzewo	węgorzewski	warmińsko-mazurskie	10,88	11661	1072
Węgorzyno	łobeski	zachodniopomorskie	6,85	2902	424
Węgrów	węgrowski	mazowieckie	35,51	12795	360
Wiązów	strzeliński	dolnośląskie	9,16	2299	251
Wieleń	czarnkowsko-trzcianecki	wielkopolskie	4,33	5995	1385
Wielichowo	grodziski	wielkopolskie	1,24	1757	1417
Wieliczka	wielicki	małopolskie	13,41	21676	1616
Wieluń	wieluński	łódzkie	16,87	23300	1381
Wieruszów	wieruszowski	łódzkie	5,97	8653	1449
Więcbork	sępoleński	kujawsko-pomorskie	4,31	5994	1391
Wilamowice	bielski	śląskie	10,36	3033	293
Wisła	cieszyński	śląskie	110,17	11198	102
Witkowo	gnieźnieński	wielkopolskie	8,31	7974	960
Witnica	gorzowski	lubuskie	8,24	6923	840
Wleń	lwówecki	dolnośląskie	7,22	1829	253
Władysławowo	pucki	pomorskie	12,59	10053	798
Włocławek	Włocławek[a]	kujawsko-pomorskie	84,32	113939	1351
Włodawa	włodawski	lubelskie	17,97	13601	757
Włoszczowa	włoszczowski	świętokrzyskie	30,30	10417	344
WodzisławŚląski	wodzisławski	śląskie	49,51	48864	987
Wojcieszów	złotoryjski	dolnośląskie	32,17	3814	119
Wojkowice	będziński	śląskie	12,79	9033	706
Wojnicz	tarnowski	małopolskie	8,50	3401	400
Wolbórz	piotrkowski	łódzkie	15,18	2362	156
Wolbrom	olkuski	małopolskie	10,12	8823	872
Wolin	kamieński	zachodniopomorskie	14,47	4919	340
Wolsztyn	wolsztyński	wielkopolskie	4,78	13552	2835
Wołczyn	kluczborski	opolskie	7,47	5967	799
Wołomin	wołomiński	mazowieckie	17,24	37389	2169
Wołów	wołowski	dolnośląskie	18,54	12578	678
Woźniki	lubliniecki	śląskie	71,01	4422	62
Wrocław	Wrocław[a]	dolnośląskie	292,82	634487	2167
Wronki	szamotulski	wielkopolskie	5,81	11473	1975
Września	wrzesiński	wielkopolskie	12,73	29735	2336
Wschowa	wschowski	lubuskie	9,25	14265	1542
Wyrzysk	pilski	wielkopolskie	4,12	5179	1257
Wysoka	pilski	wielkopolskie	4,82	2707	562
WysokieMazowieckie	wysokomazowiecki	podlaskie	15,24	9517	624
Wyszków	wyszkowski	mazowieckie	20,78	27173	1308
Wyszogród	płocki	mazowieckie	12,97	2705	209
Wyśmierzyce	białobrzeski	mazowieckie	16,84	921	55
Zabłudów	białostocki	podlaskie	14,30	2499	175
Zabrze	Zabrze[a]	śląskie	80,40	177188	2204
Zagórów	słupecki	wielkopolskie	3,44	3076	894
Zagórz	sanocki	podkarpackie	22,29	5073	228
Zakliczyn	tarnowski	małopolskie	4,02	1661	413
Zaklików	stalowowolski	podkarpackie	11,42	3064	268
Zakopane	tatrzański	małopolskie	84,26	27556	327
Zakroczym	nowodworski	mazowieckie	19,97	3231	162
Zalewo	iławski	warmińsko-mazurskie	8,22	2185	266
Zambrów	zambrowski	podlaskie	19,02	22262	1170
Zamość	Zamość[a]	lubelskie	30,34	65055	2144
Zator	oświęcimski	małopolskie	11,52	3700	321
Zawadzkie	strzelecki	opolskie	16,46	7493	455
Zawichost	sandomierski	świętokrzyskie	20,29	1863	92
Zawidów	zgorzelecki	dolnośląskie	6,07	4315	711
Zawiercie	zawierciański	śląskie	85,25	50990	598
Ząbki	wołomiński	mazowieckie	10,98	32844	2991
ZąbkowiceŚląskie	ząbkowicki	dolnośląskie	13,67	15585	1140
Zbąszynek	świebodziński	lubuskie	3,58	5060	1413
Zbąszyń	nowotomyski	wielkopolskie	5,42	7235	1335
Zduny	krotoszyński	wielkopolskie	6,20	4579	739
ZduńskaWola	zduńskowolski	łódzkie	24,57	43310	1763
Zdzieszowice	krapkowicki	opolskie	12,35	11899	963
Zelów	bełchatowski	łódzkie	10,75	7785	724
Zgierz	zgierski	łódzkie	42,33	57390	1356
Zgorzelec	zgorzelecki	dolnośląskie	15,88	31532	1986
ZielonaGóra	ZielonaGóra[a]	lubuskie	278,32	138512	498
Zielonka	wołomiński	mazowieckie	79,48	17459	220
Ziębice	ząbkowicki	dolnośląskie	15,07	9052	601
Złocieniec	drawski	zachodniopomorskie	32,28	13190	409
Złoczew	sieradzki	łódzkie	13,79	3378	245
Złotoryja	złotoryjski	dolnośląskie	11,51	16085	1397
Złotów	złotowski	wielkopolskie	11,58	18492	1597
ZłotyStok	ząbkowicki	dolnośląskie	7,73	2902	375
Zwierzyniec	zamojski	lubelskie	6,19	3321	537
Zwoleń	zwoleński	mazowieckie	15,91	8065	507
Żabno	tarnowski	małopolskie	11,13	4214	379
Żagań	żagański	lubuskie	40,38	26426	654
Żarki	myszkowski	śląskie	25,44	4526	178
Żarów	świdnicki	dolnośląskie	7,04	6893	979
Żary	żarski	lubuskie	33,49	38527	1150
Żelechów	garwoliński	mazowieckie	12,13	4061	335
Żerków	jarociński	wielkopolskie	2,16	2149	995
Żmigród	trzebnicki	dolnośląskie	9,49	6487	684
Żnin	żniński	kujawsko-pomorskie	8,35	14173	1697
Żory	Żory[a]	śląskie	64,64	62051	960
Żukowo	kartuski	pomorskie	4,73	6532	1381
Żuromin	żuromiński	mazowieckie	11,18	9015	806
Żychlin	kutnowski	łódzkie	8,68	8537	984
Żyrardów	żyrardowski	mazowieckie	14,35	41003	2857
Żywiec	żywiecki	śląskie	50,54	31942	632
